hdd journal_jac_delalloc_1024/
944000 5579000
790000 5458000
644000 5379000
815000 5717000
753000 5712000
603000 5667000
874000 6426000
976000 6436000
930000 6380000
993000 7599000
1100000 7600000
1063000 7504000
1370000 9933000
1443000 9924000
1431000 9793000
17500 4327000
12800 4369000
13400 4323000
12998 4745000
13340 4779000
14712 4691000
15144 5228000
14877 5268000
17013 5189000
15491 5721000
15891 5765000
18009 5691000
17300 6192000
18600 6233000
18900 6197000
591000 4095000
476000 4071000
389000 4050000
555000 4276000
516000 4259000
440000 4223000
608000 4688000
666000 4672000
656000 4658000
655000 5087000
709000 5088000
699000 5020000
730000 5486000
764000 5498000
754000 5448000
15000 3779000
14000 3825000
11800 3778000
10928 4008000
15904 4020000
13510 4003000
14995 4344000
13905 4362000
13359 4322000
16152 4660000
16023 4680000
15227 4635000
17800 5004000
18500 5034000
18500 4975000
912000 5278000
797000 5224000
563000 5206000
881000 5932000
846000 5881000
603000 5880000
1015000 6982000
1116000 6990000
1051000 6940000
1109000 8206000
1235000 8160000
1177000 8058000
1314000 9343000
1374000 9337000
1356000 9238000
18000 4893000
13600 4948000
13800 4907000
14564 5475000
14034 5512000
15785 5493000
15508 6354000
14849 6373000
16933 6309000
16133 7242000
16266 7251000
17748 7179000
17400 8071000
18800 8094000
19300 8017000
hdd journal_jac_delalloc_2048/
949000 5570000
811000 5488000
626000 5445000
818000 5733000
728000 5705000
592000 5664000
884000 6439000
979000 6430000
956000 6356000
1004000 7620000
1120000 7603000
1084000 7488000
1373000 9946000
1459000 9936000
1445000 9776000
17200 4330000
13800 4348000
15500 4333000
14705 4736000
13766 4765000
13690 4708000
13847 5250000
14333 5272000
16295 5217000
15744 5738000
10284 5759000
16667 5721000
16600 6229000
18600 6249000
18600 6209000
594000 4117000
479000 4083000
392000 4033000
559000 4289000
521000 4268000
443000 4243000
616000 4690000
668000 4646000
660000 4635000
657000 5094000
715000 5078000
699000 5026000
727000 5519000
765000 5510000
750000 5461000
17600 3800000
13000 3839000
15700 3781000
14305 4031000
13480 4051000
12808 4009000
13471 4358000
14252 4370000
16638 4322000
14811 4686000
15084 4694000
18277 4648000
15800 5023000
17100 5039000
18100 4996000
897000 5312000
776000 5274000
594000 5194000
888000 5943000
793000 5899000
643000 5869000
1014000 7018000
1118000 7018000
1096000 6956000
1115000 8198000
1233000 8199000
1207000 8099000
1288000 9340000
1380000 9344000
1361000 9218000
16800 4854000
12400 4948000
14600 4881000
14176 5505000
14154 5504000
14851 5489000
15573 6343000
14052 6378000
17051 6295000
16159 7214000
16279 7240000
18000 7171000
17300 8076000
19600 8104000
19300 8010000
hdd journal_jac_delalloc_4096/
942000 5543000
812000 5457000
635000 5415000
821000 5717000
764000 5715000
592000 5711000
885000 6436000
980000 6420000
962000 6410000
1004000 7606000
1120000 7611000
1095000 7504000
1376000 9926000
1465000 9937000
1443000 9799000
17400 4328000
13600 4364000
13500 4307000
15120 4750000
14028 4776000
14555 4704000
13934 5236000
15283 5274000
15848 5200000
15624 5741000
16398 5764000
17740 5700000
17200 6221000
19300 6243000
19100 6202000
586000 4118000
479000 4072000
391000 4031000
563000 4280000
520000 4263000
441000 4227000
612000 4682000
666000 4676000
656000 4632000
656000 5100000
709000 5087000
699000 5020000
732000 5525000
764000 5512000
752000 5465000
17200 3792000
11600 3828000
15200 3794000
11902 4023000
12969 4056000
15121 3996000
13608 4350000
14242 4364000
17053 4330000
13473 4670000
14266 4686000
17075 4644000
16900 5030000
18800 5039000
18600 4997000
909000 5276000
764000 5270000
604000 5240000
887000 5941000
811000 5884000
647000 5867000
1013000 7015000
1120000 7030000
1092000 6958000
1109000 8213000
1236000 8182000
1208000 8072000
1283000 9398000
1374000 9349000
1366000 9240000
18100 4881000
14100 4962000
13200 4889000
17263 5497000
14581 5524000
14444 5482000
17227 6350000
14467 6382000
16173 6292000
15747 7234000
16425 7250000
14264 7155000
17600 8076000
19200 8082000
19200 8004000
hdd journal_jac_nodelalloc_1024/
625000 329000
341000 52400
126000 20200
600000 817000
428000 480000
165300 1434000
816000 3511000
756000 1840000
358000 1507000
973000 2923000
940000 2472000
552000 1703000
1345000 2766000
1333000 2729000
1323000 2718000
82 536
108 33
13 545
87 62
96 54
91 471
54 123900
78 535
65 38
113 318
99 240
107 268
146 312
164 735
165 721
451000 282000
312000 55400
115000 17600
479000 1043000
384100 87600
146800 536000
616000 4374000
616000 2238000
336000 1588000
660000 4531000
660000 3494000
465000 2248000
689000 5348000
748000 5212000
701000 5124000
74 536
123 12
11 365
99 36
76 447
72 36
77 487
75 35700
66 513
108 78400
89 598
105 49400
150 602
164 742
165 730
569000 301000
346000 53700
121000 16000
603000 633000
449000 476000
162900 2053000
914000 3302000
808000 2016000
368000 1490000
1063000 2852000
1023000 2534000
556000 1305000
1259000 2764000
1276000 2703000
1260000 2707000
72 529
73 17200
52 479
72 105500
71 195
74 229
68 142
71 190
64 169
116 171
110 277
88 254
155 296
165 731
165 711
hdd journal_jac_nodelalloc_2048/
655000 387000
495000 73400
187000 415000
636000 2577000
541000 147900
260099 779000
749000 3850000
821000 3638000
479000 3640000
917000 3265000
979000 3059000
715000 3248000
1275000 2884000
1367000 2852000
1345000 2796000
78 548
75 1
66 456
32 15
103 479
63 52
75 161
58 264
105 196
76 204
89 236
119 288
114 296
166 741
165 768
503000 399000
391000 83000
175000 174000
481000 684000
433000 91200
240100 27223
454000 4622000
634000 4420000
408000 4324000
617000 4927000
675000 4639000
555000 4745000
692000 5306000
748000 5221000
747000 5155000
77 615
88 1
72 551
35 5366
91 309
53 63
90 309
67 126
70 246
91 150
103 344
137 170
87 375
170 760
172 745
685000 381000
494000 59600
179000 20800
672000 791000
580000 93900
262700 773000
915000 3816000
916000 3580000
512000 3670000
1054000 3248000
1075000 3172000
799000 3105000
1215000 2895000
1325000 2866000
1316000 2838000
74 584
111 32
56 128
69 204
88 139
38 135
62 152
89 185
81 203
114 155
71 287
108 233
146 317
164 761
172 785
hdd journal_jac_nodelalloc_4096/
701000 553000
536000 102000
258000 1100000
609000 992000
549000 1516000
310600 1043000
742000 3672000
830000 3574000
620000 3678000
804000 3120000
985000 3019000
828000 3104000
1280000 2812000
1394000 2807000
1385000 2753000
154 719
116 224
156 36000
107 480000
167 493
105 565
120 511
128 524
136 506
150 533
158 579
164 595
153 628
173 798
173 799
551000 541000
400000 120000
284000 747000
439000 827000
440000 372100
317400 1172000
556000 4636000
614000 4504000
530000 4536000
580000 4928000
684000 4690000
607000 4851000
692000 5292000
754000 5274000
747000 5131000
142 779
137 215000
138 548000
162 1036000
134 766
87 184
152 571
156 678
159 523
149 630
164 558
157 548
168 587
173 768
172 810
716000 588000
568000 87500
255000 1066000
651000 1280000
600000 2388000
342800 3081000
839000 3652000
914000 3592000
678000 3630000
856000 3091000
1068000 2987000
927000 3072000
1190000 2811000
1333000 2795000
1309000 2764000
132 742
149 406000
142 486
148 582
141 522
116 561
129 572
122 701
135 551
157 29496
147 547
158 685
163 591
173 791
172 810
hdd journal_nojac_delalloc_1024/
966000 5573000
808000 5442000
630000 5466000
820000 5729000
737000 5739000
592000 5723000
888000 6444000
980000 6444000
960000 6378000
1004000 7650000
1118000 7619000
1096000 7538000
1371000 10000000
1458000 9962000
1439000 9813000
17800 4325000
12900 4370000
14600 4324000
15357 4763000
13216 4781000
11563 4703000
15098 5262000
14461 5294000
15184 5216000
15220 5743000
15015 5782000
16536 5703000
17500 6234000
18400 6260000
17500 6227000
592000 4124000
476000 4096000
392000 4058000
561000 4291000
519000 4280000
441000 4240000
616000 4696000
670000 4699000
652000 4634000
657000 5095000
708000 5098000
696000 5049000
729000 5521000
757000 5517000
754000 5467000
17300 3796000
12700 3820000
15300 3784000
14312 4031000
13512 4044000
15776 4003000
14404 4354000
14109 4376000
16603 4330000
15467 4681000
15893 4694000
17743 4653000
16800 5026000
18900 5043000
18500 5002000
926000 5289000
765000 5276000
600000 5245000
878000 5927000
805000 5911000
641000 5869000
1010000 7029000
1124000 6994000
1092000 6942000
1109000 8237000
1232000 8184000
1211000 8081000
1280000 9357000
1375000 9358000
1364000 9263000
17800 4916000
13400 4987000
14500 4885000
14287 5543000
14158 5531000
15636 5473000
14768 6358000
14831 6406000
16777 6318000
15469 7226000
16559 7270000
15882 7195000
17400 8066000
19300 8097000
19000 8016000
hdd journal_nojac_delalloc_2048/
950000 5564000
812000 5457000
632000 5433000
815000 5749000
761000 5698000
591000 5714000
884000 6446000
982000 6431000
958000 6374000
1001000 7632000
1115000 7598000
1088000 7510000
1376000 9951000
1467000 9936000
1442000 9790000
15600 4328000
10100 4343000
15400 4325000
13701 4764000
12624 4764000
15102 4708000
14751 5238000
15080 5261000
16559 5204000
13474 5735000
15471 5771000
16820 5695000
17400 6207000
19400 6244000
19000 6205000
591000 4121000
474000 4077000
391000 4051000
560000 4294000
519000 4273000
442000 4243000
618000 4686000
665000 4682000
656000 4652000
649000 5117000
713000 5100000
697000 5018000
731000 5508000
767000 5512000
752000 5461000
17500 3793000
13000 3814000
14800 3783000
14165 4031000
12067 4043000
14976 4001000
14277 4340000
14048 4370000
17221 4316000
14936 4665000
15226 4688000
18028 4635000
17000 5019000
18500 5038000
18400 4992000
920000 5335000
776000 5247000
591000 5209000
896000 5965000
813000 5891000
647000 5864000
1010000 6974000
1119000 6990000
1088000 6941000
1113000 8213000
1231000 8196000
1204000 8072000
1290000 9337000
1381000 9338000
1363000 9219000
16400 4917000
13800 4949000
15500 4884000
14575 5497000
13882 5520000
14561 5453000
15180 6358000
14678 6346000
14628 6296000
15007 7228000
16412 7242000
17211 7137000
17600 8088000
19300 8093000
18400 7994000
hdd journal_nojac_delalloc_4096/
963000 5563000
807000 5451000
631000 5423000
823000 5734000
740000 5709000
593000 5668000
888000 6436000
984000 6436000
961000 6370000
1004000 7624000
1115000 7595000
1094000 7490000
1373000 9944000
1463000 9937000
1446000 9780000
16800 4328000
12300 4369000
14600 4306000
14980 4731000
9820 4764000
15510 4681000
13678 5246000
14557 5280000
15762 5192000
15469 5736000
15010 5746000
17472 5687000
17200 6205000
19100 6245000
19100 6196000
592000 4116000
479000 4084000
390000 4026000
559000 4285000
520000 4277000
440000 4253000
612000 4691000
672000 4682000
661000 4641000
656000 5087000
712000 5094000
701000 5022000
732000 5508000
763000 5499000
756000 5455000
16600 3783000
12000 3822000
15500 3771000
14309 4010000
13628 4019000
16698 3988000
14048 4332000
14624 4360000
17059 4314000
15199 4667000
16550 4678000
16797 4613000
16400 5023000
18900 5038000
18600 4986000
912000 5326000
779000 5232000
604000 5224000
883000 5908000
801000 5876000
648000 5865000
1016000 6992000
1116000 6974000
1099000 6940000
1115000 8199000
1237000 8166000
1205000 8076000
1287000 9382000
1382000 9318000
1360000 9210000
18200 4895000
12800 4957000
15000 4911000
13372 5499000
14018 5512000
15642 5477000
13859 6342000
14955 6378000
13479 6300000
15882 7196000
17737 7231000
16933 7103000
16900 8064000
18800 8077000
17000 7995000
hdd journal_nojac_nodelalloc_1024/
588000 323000
362000 58600
125000 20500
579000 980000
453000 2020000
162700 1259000
818000 3550000
754000 2372000
362000 1032000
975000 3131000
925000 2492000
505000 1672000
1330000 2826000
1342000 2792000
1301000 2790000
78 528
83 1
64 492
62 20
88 494
42 98900
70 292
82 266
70 167
98 210
103 218
99 284
146 301
165 721
163 719
469000 278000
303000 50200
117000 15800
452000 620000
369500 76700
143900 19752
609000 4444000
608000 2188000
344000 1821000
664000 4700000
673000 3595000
452000 2143000
708000 5090000
739000 5227000
678000 5130000
85 552
103 10
10 284
170 43
0 401
159 43
0 364
163 74
25 354
139 52
88 438
109 281
122 290000
165 729
165 730
574000 287000
327000 55300
126000 18100
576000 637000
392200 72100
165500 23744
926000 3754000
814000 2432000
378000 1525000
1044000 3106000
965000 2516000
589000 1765000
1270000 2861000
1255000 2837000
1221000 2790000
82 532
79 1
54 456
60 0
