% time     seconds  usecs/call     calls    errors syscall
------ ----------- ----------- --------- --------- ----------------
 68.77    0.866391         108      7997         1 write
 20.69    0.260619       86873         3         1 wait4
  7.48    0.094236          12      7997           openat
  2.03    0.025569           3      7995           close
  0.39    0.004909           9       527           mkdir
  0.39    0.004899          16       302           nanosleep
  0.23    0.002882           3      1056       526 stat
  0.01    0.000091           2        43           mmap
  0.01    0.000065           2        30           mprotect
  0.00    0.000052          52         1           kill
  0.00    0.000041          14         3           clone
  0.00    0.000028          14         2         1 unlink
  0.00    0.000028           2        13         1 futex
  0.00    0.000026           2        15           read
  0.00    0.000025          13         2           getdents
  0.00    0.000021           1        18           fstat
  0.00    0.000010           5         2           munmap
  0.00    0.000005           1         4           brk
  0.00    0.000005           1         8           rt_sigaction
  0.00    0.000002           2         1         1 ioctl
  0.00    0.000002           1         3           getpid
  0.00    0.000002           2         1         1 semget
  0.00    0.000000           0         1           lseek
  0.00    0.000000           0         3           rt_sigprocmask
  0.00    0.000000           0         7         7 access
  0.00    0.000000           0         1           execve
  0.00    0.000000           0         2           personality
  0.00    0.000000           0         1           arch_prctl
  0.00    0.000000           0         1           set_tid_address
  0.00    0.000000           0         1           set_robust_list
  0.00    0.000000           0         4           prlimit64
------ ----------- ----------- --------- --------- ----------------
100.00    1.259908                 26044       539 total
