% time     seconds  usecs/call     calls    errors syscall
------ ----------- ----------- --------- --------- ----------------
 94.06    1.542985        3709       416       209 wait4
  5.90    0.096816         321       302           nanosleep
  0.01    0.000100           2        43           mmap
  0.00    0.000078           3        30           mprotect
  0.00    0.000078           3        29           openat
  0.00    0.000057           4        16           stat
  0.00    0.000050           3        20         1 write
  0.00    0.000046           2        27           close
  0.00    0.000032           2        15           read
  0.00    0.000028          14         2           clone
  0.00    0.000026          13         2           getdents
  0.00    0.000025           2        14         1 futex
  0.00    0.000023           1        18           fstat
  0.00    0.000005           1         4           rt_sigaction
  0.00    0.000004           4         1           shmget
  0.00    0.000004           4         1           shmat
  0.00    0.000003           3         1         1 semget
  0.00    0.000002           2         1         1 ioctl
  0.00    0.000001           0       208           kill
  0.00    0.000000           0         1           lseek
  0.00    0.000000           0         2           munmap
  0.00    0.000000           0         3           brk
  0.00    0.000000           0         1           rt_sigprocmask
  0.00    0.000000           0         7         7 access
  0.00    0.000000           0         1           shmctl
  0.00    0.000000           0       210           getpid
  0.00    0.000000           0         1           execve
  0.00    0.000000           0         1           semctl
  0.00    0.000000           0         2         1 unlink
  0.00    0.000000           0         2           personality
  0.00    0.000000           0         1           arch_prctl
  0.00    0.000000           0         1           set_tid_address
  0.00    0.000000           0         1           set_robust_list
  0.00    0.000000           0         4           prlimit64
------ ----------- ----------- --------- --------- ----------------
100.00    1.640363                  1388       221 total
