% time     seconds  usecs/call     calls    errors syscall
------ ----------- ----------- --------- --------- ----------------
 87.97    0.261937       87312         3         1 wait4
  5.58    0.016612          20       824         1 write
  3.66    0.010895          13       823           openat
  1.73    0.005143          17       302           nanosleep
  0.85    0.002516           3       821           close
  0.04    0.000113           3        43           mmap
  0.04    0.000112          37         3           clone
  0.03    0.000082           3        30           mprotect
  0.02    0.000046           4        13         1 futex
  0.02    0.000045          23         2           mkdir
  0.01    0.000043           3        15           read
  0.01    0.000036          18         2           getdents
  0.01    0.000035          35         1           kill
  0.01    0.000033           6         6         1 stat
  0.01    0.000030           2        18           fstat
  0.01    0.000027          14         2         1 unlink
  0.01    0.000019           2         8           rt_sigaction
  0.00    0.000007           4         2           munmap
  0.00    0.000006           2         3           rt_sigprocmask
  0.00    0.000004           1         4           brk
  0.00    0.000004           4         1         1 semget
  0.00    0.000003           3         1         1 ioctl
  0.00    0.000003           1         3           getpid
  0.00    0.000000           0         1           lseek
  0.00    0.000000           0         7         7 access
  0.00    0.000000           0         1           execve
  0.00    0.000000           0         2           personality
  0.00    0.000000           0         1           arch_prctl
  0.00    0.000000           0         1           set_tid_address
  0.00    0.000000           0         1           set_robust_list
  0.00    0.000000           0         4           prlimit64
------ ----------- ----------- --------- --------- ----------------
100.00    0.297751                  2948        14 total
