% time     seconds  usecs/call     calls    errors syscall
------ ----------- ----------- --------- --------- ----------------
 54.57    1.252441      626221         2           wait4
 43.83    1.006064        3899       258           nanosleep
  0.90    0.020763          20      1023         1 write
  0.47    0.010807          11      1019           openat
  0.14    0.003278           3      1017           close
  0.04    0.000807          14        59           mkdir
  0.02    0.000476           4       121        57 stat
  0.01    0.000192          48         4           clone
  0.01    0.000127           3        43           mmap
  0.00    0.000089           3        30           mprotect
  0.00    0.000048           3        15           read
  0.00    0.000034          17         2           getdents
  0.00    0.000034           2        14         1 futex
  0.00    0.000030           2        18           fstat
  0.00    0.000030           3        12           rt_sigaction
  0.00    0.000012           2         5           rt_sigprocmask
  0.00    0.000008           4         2           munmap
  0.00    0.000004           1         4           brk
  0.00    0.000004           4         1         1 semget
  0.00    0.000003           3         1         1 ioctl
  0.00    0.000000           0         1           lseek
  0.00    0.000000           0         7         7 access
  0.00    0.000000           0         2           getpid
  0.00    0.000000           0         1           execve
  0.00    0.000000           0         2         1 unlink
  0.00    0.000000           0         2           personality
  0.00    0.000000           0         1           arch_prctl
  0.00    0.000000           0         1           set_tid_address
  0.00    0.000000           0         1           set_robust_list
  0.00    0.000000           0         4           prlimit64
------ ----------- ----------- --------- --------- ----------------
100.00    2.295251                  3672        69 total
