% time     seconds  usecs/call     calls    errors syscall
------ ----------- ----------- --------- --------- ----------------
 12.38    0.000239           2       112        24 openat
 10.82    0.000209           2        96           mmap
 10.56    0.000204           2       104           close
 10.51    0.000203           2        99         1 read
  7.98    0.000154           2        86           fstat
  7.92    0.000153           4        37           munmap
  6.47    0.000125           2        58           mprotect
  4.19    0.000081          81         1           clone
  4.09    0.000079           2        36           lseek
  3.94    0.000076           2        49           rt_sigaction
  3.06    0.000059           8         7         1 poll
  2.12    0.000041           4        10           sendto
  1.81    0.000035           1        29         9 stat
  1.66    0.000032           2        14           socket
  1.50    0.000029           3        10           recvfrom
  1.24    0.000024           1        22        22 access
  1.09    0.000021           2        13           fcntl
  0.93    0.000018          18         1           wait4
  0.88    0.000017           9         2           readlink
  0.67    0.000013           2         6           rt_sigprocmask
  0.67    0.000013           2         8         6 connect
  0.67    0.000013           1        12           setresuid
  0.67    0.000013           2         8           setresgid
  0.57    0.000011           4         3           alarm
  0.52    0.000010           5         2           pipe2
  0.47    0.000009           2         5           umask
  0.47    0.000009           2         4           getuid
  0.41    0.000008           8         1           write
  0.26    0.000005           5         1         1 rt_sigreturn
  0.21    0.000004           4         1           lstat
  0.21    0.000004           1         7         4 ioctl
  0.21    0.000004           4         1           setuid
  0.21    0.000004           1         3           setgroups
  0.16    0.000003           2         2           getcwd
  0.16    0.000003           3         1           setgid
  0.16    0.000003           3         1           getpgrp
  0.16    0.000003           1         6           prlimit64
  0.00    0.000000           0         3           brk
  0.00    0.000000           0         1           getpid
  0.00    0.000000           0         5           recvmsg
  0.00    0.000000           0         1           bind
  0.00    0.000000           0         1           getsockname
  0.00    0.000000           0         1           execve
  0.00    0.000000           0         2           uname
  0.00    0.000000           0         2           getdents
  0.00    0.000000           0         1           getgid
  0.00    0.000000           0         2           geteuid
  0.00    0.000000           0         1           getegid
  0.00    0.000000           0         1           getppid
  0.00    0.000000           0         2           getgroups
  0.00    0.000000           0         2           getresuid
  0.00    0.000000           0         2           getresgid
  0.00    0.000000           0         1           getpgid
  0.00    0.000000           0         1           getsid
  0.00    0.000000           0         2         2 statfs
  0.00    0.000000           0         2           prctl
  0.00    0.000000           0         1           arch_prctl
  0.00    0.000000           0         3           futex
  0.00    0.000000           0         1           set_tid_address
  0.00    0.000000           0         1           set_robust_list
------ ----------- ----------- --------- --------- ----------------
100.00    0.001931                   897        70 total
