% time     seconds  usecs/call     calls    errors syscall
------ ----------- ----------- --------- --------- ----------------
100.00    0.000016          16         1           wait4
  0.00    0.000000           0        99         1 read
  0.00    0.000000           0         1           write
  0.00    0.000000           0       104           close
  0.00    0.000000           0        29         9 stat
  0.00    0.000000           0        86           fstat
  0.00    0.000000           0         1           lstat
  0.00    0.000000           0         7         1 poll
  0.00    0.000000           0        36           lseek
  0.00    0.000000           0        96           mmap
  0.00    0.000000           0        58           mprotect
  0.00    0.000000           0        37           munmap
  0.00    0.000000           0         3           brk
  0.00    0.000000           0        49           rt_sigaction
  0.00    0.000000           0         6           rt_sigprocmask
  0.00    0.000000           0         1         1 rt_sigreturn
  0.00    0.000000           0         7         4 ioctl
  0.00    0.000000           0        22        22 access
  0.00    0.000000           0         3           alarm
  0.00    0.000000           0         1           getpid
  0.00    0.000000           0        14           socket
  0.00    0.000000           0         8         6 connect
  0.00    0.000000           0        10           sendto
  0.00    0.000000           0        10           recvfrom
  0.00    0.000000           0         5           recvmsg
  0.00    0.000000           0         1           bind
  0.00    0.000000           0         1           getsockname
  0.00    0.000000           0         1           clone
  0.00    0.000000           0         1           execve
  0.00    0.000000           0         2           uname
  0.00    0.000000           0        13           fcntl
  0.00    0.000000           0         2           getdents
  0.00    0.000000           0         2           getcwd
  0.00    0.000000           0         2           readlink
  0.00    0.000000           0         5           umask
  0.00    0.000000           0         4           getuid
  0.00    0.000000           0         1           getgid
  0.00    0.000000           0         1           setuid
  0.00    0.000000           0         1           setgid
  0.00    0.000000           0         2           geteuid
  0.00    0.000000           0         1           getegid
  0.00    0.000000           0         1           getppid
  0.00    0.000000           0         1           getpgrp
  0.00    0.000000           0         2           getgroups
  0.00    0.000000           0         3           setgroups
  0.00    0.000000           0        12           setresuid
  0.00    0.000000           0         2           getresuid
  0.00    0.000000           0         8           setresgid
  0.00    0.000000           0         2           getresgid
  0.00    0.000000           0         1           getpgid
  0.00    0.000000           0         1           getsid
  0.00    0.000000           0         2         2 statfs
  0.00    0.000000           0         2           prctl
  0.00    0.000000           0         1           arch_prctl
  0.00    0.000000           0         3           futex
  0.00    0.000000           0         1           set_tid_address
  0.00    0.000000           0       112        24 openat
  0.00    0.000000           0         1           set_robust_list
  0.00    0.000000           0         2           pipe2
  0.00    0.000000           0         6           prlimit64
------ ----------- ----------- --------- --------- ----------------
100.00    0.000016                   897        70 total
