% time     seconds  usecs/call     calls    errors syscall
------ ----------- ----------- --------- --------- ----------------
 12.65    0.000164           4        37           munmap
  9.88    0.000128           1       104           close
  9.34    0.000121           1       112        24 openat
  7.87    0.000102           1        99         1 read
  7.25    0.000094          94         1           clone
  6.25    0.000081           1        96           mmap
  5.71    0.000074           2        36           lseek
  5.63    0.000073           1        86           fstat
  5.25    0.000068           1        49           rt_sigaction
  4.63    0.000060           6        10           sendto
  3.32    0.000043           6         7         1 poll
  2.70    0.000035           3        14           socket
  2.47    0.000032           3        10           recvfrom
  2.31    0.000030           1        58           mprotect
  1.85    0.000024           2        13           fcntl
  1.39    0.000018          18         1           wait4
  1.23    0.000016           1        22        22 access
  1.23    0.000016           8         2           readlink
  1.08    0.000014           2         6           rt_sigprocmask
  0.85    0.000011           1         8         6 connect
  0.77    0.000010           1         8           setresgid
  0.69    0.000009           3         3           alarm
  0.69    0.000009           1        12           setresuid
  0.69    0.000009           5         2           pipe2
  0.62    0.000008           8         1           write
  0.62    0.000008           2         5           umask
  0.62    0.000008           2         4           getuid
  0.31    0.000004           4         1         1 rt_sigreturn
  0.31    0.000004           1         7         4 ioctl
  0.23    0.000003           0        29         9 stat
  0.23    0.000003           3         1           lstat
  0.23    0.000003           2         2           getcwd
  0.23    0.000003           3         1           setuid
  0.23    0.000003           3         1           setgid
  0.23    0.000003           1         3           setgroups
  0.23    0.000003           1         6           prlimit64
  0.15    0.000002           2         1           getpgrp
  0.00    0.000000           0         3           brk
  0.00    0.000000           0         1           getpid
  0.00    0.000000           0         5           recvmsg
  0.00    0.000000           0         1           bind
  0.00    0.000000           0         1           getsockname
  0.00    0.000000           0         1           execve
  0.00    0.000000           0         2           uname
  0.00    0.000000           0         2           getdents
  0.00    0.000000           0         1           getgid
  0.00    0.000000           0         2           geteuid
  0.00    0.000000           0         1           getegid
  0.00    0.000000           0         1           getppid
  0.00    0.000000           0         2           getgroups
  0.00    0.000000           0         2           getresuid
  0.00    0.000000           0         2           getresgid
  0.00    0.000000           0         1           getpgid
  0.00    0.000000           0         1           getsid
  0.00    0.000000           0         2         2 statfs
  0.00    0.000000           0         2           prctl
  0.00    0.000000           0         1           arch_prctl
  0.00    0.000000           0         3           futex
  0.00    0.000000           0         1           set_tid_address
  0.00    0.000000           0         1           set_robust_list
------ ----------- ----------- --------- --------- ----------------
100.00    0.001296                   897        70 total
