% time     seconds  usecs/call     calls    errors syscall
------ ----------- ----------- --------- --------- ----------------
 57.98   15.847039          57    278409           wait4
 33.16    9.063545           8   1121269           pread64
  7.81    2.135055         636      3359      1596 futex
  0.54    0.147702           8     17427        13 nanosleep
  0.20    0.055622           3     17486     17427 stat
  0.11    0.029632       29632         1           shmdt
  0.08    0.023225           2      9919           clock_gettime
  0.03    0.008288           8       991        27 openat
  0.02    0.005169           6       861         1 read
  0.02    0.005110           3      1598         4 ioctl
  0.01    0.003032           3       986           close
  0.01    0.002431           3       929           fstat
  0.00    0.001234           6       199           write
  0.00    0.000593           5       108           munmap
  0.00    0.000433           2       192           mmap
  0.00    0.000226           3        89           mprotect
  0.00    0.000185          15        12           sched_setaffinity
  0.00    0.000137           9        15         2 restart_syscall
  0.00    0.000136          10        13           madvise
  0.00    0.000120           2        62           rt_sigaction
  0.00    0.000120          12        10           sendto
  0.00    0.000094           3        37           lseek
  0.00    0.000091           3        31           clone
  0.00    0.000070           5        14           socket
  0.00    0.000062           2        32           getrusage
  0.00    0.000054           5        12           gettid
  0.00    0.000052           0       460        16 lstat
  0.00    0.000043           5         8         6 connect
  0.00    0.000039           1        33        33 access
  0.00    0.000036           2        17           fcntl
  0.00    0.000036           3        13           setresuid
  0.00    0.000035           4        10           recvfrom
  0.00    0.000032           5         7         1 poll
  0.00    0.000024           3         8           setresgid
  0.00    0.000024           1        32           set_robust_list
  0.00    0.000021           4         5           recvmsg
  0.00    0.000015           8         2           readlink
  0.00    0.000015           1        11           prlimit64
  0.00    0.000014           2         8           rt_sigprocmask
  0.00    0.000014           2         6           umask
  0.00    0.000012           0       195           getdents
  0.00    0.000011           2         5           getuid
  0.00    0.000010           3         3           setgroups
  0.00    0.000008           3         3           alarm
  0.00    0.000008           4         2           pipe2
  0.00    0.000007           1        11           brk
  0.00    0.000006           0        21           getpid
  0.00    0.000006           3         2           uname
  0.00    0.000006           2         3           getcwd
  0.00    0.000006           3         2           getgroups
  0.00    0.000006           3         2           getresgid
  0.00    0.000006           2         3           prctl
  0.00    0.000005           1         4           geteuid
  0.00    0.000004           2         2         1 rt_sigreturn
  0.00    0.000004           2         2         1 shmctl
  0.00    0.000004           2         2           getresuid
  0.00    0.000003           3         1           bind
  0.00    0.000003           3         1           getsockname
  0.00    0.000003           3         1           setuid
  0.00    0.000003           3         1           setgid
  0.00    0.000003           2         2           getegid
  0.00    0.000003           3         1           getpgid
  0.00    0.000002           1         2           getgid
  0.00    0.000002           1         2           getppid
  0.00    0.000002           2         1           getpgrp
  0.00    0.000002           2         1           getsid
  0.00    0.000000           0         1           shmget
  0.00    0.000000           0         1           shmat
  0.00    0.000000           0         1           dup
  0.00    0.000000           0         1           dup2
  0.00    0.000000           0         4         1 execve
  0.00    0.000000           0         2           sysinfo
  0.00    0.000000           0        16           setsid
  0.00    0.000000           0         2         2 statfs
  0.00    0.000000           0        32           getpriority
  0.00    0.000000           0        16           setpriority
  0.00    0.000000           0         3           arch_prctl
  0.00    0.000000           0         1           sched_getaffinity
  0.00    0.000000           0         2           set_tid_address
  0.00    0.000000           0        32           fadvise64
------ ----------- ----------- --------- --------- ----------------
100.00   27.329940               1455070     19131 total
