% time     seconds  usecs/call     calls    errors syscall
------ ----------- ----------- --------- --------- ----------------
 56.12    4.514277          16    276402           wait4
 26.09    2.098274         614      3420      1623 futex
 13.00    1.045585          21     48722           pread64
  2.81    0.226310          13     17289         8 nanosleep
  0.87    0.069983           4     17348     17289 stat
  0.35    0.028062       28062         1           shmdt
  0.28    0.022788           2      9934           clock_gettime
  0.18    0.014161          14       988        27 openat
  0.08    0.006202           4      1626         4 ioctl
  0.08    0.006111           7       858         1 read
  0.04    0.003564           4       983           close
  0.04    0.002820           3       927           fstat
  0.02    0.001478           8       197           write
  0.01    0.001036           2       460        16 lstat
  0.01    0.000659           6       108           munmap
  0.01    0.000503           3       192           mmap
  0.00    0.000302           2       195           getdents
  0.00    0.000208           2        89           mprotect
  0.00    0.000190          16        12           sched_setaffinity
  0.00    0.000187          14        13           madvise
  0.00    0.000145          10        15         7 restart_syscall
  0.00    0.000133           4        31           clone
  0.00    0.000101           3        37           lseek
  0.00    0.000057           1        62           rt_sigaction
  0.00    0.000053           4        14           socket
  0.00    0.000053           2        32           getrusage
  0.00    0.000049           5        10           sendto
  0.00    0.000047           7         7         1 poll
  0.00    0.000041           3        12           gettid
  0.00    0.000040           3        13           setresuid
  0.00    0.000035           4        10           recvfrom
  0.00    0.000034           4         8         6 connect
  0.00    0.000033           1        32           set_robust_list
  0.00    0.000031           2        17           fcntl
  0.00    0.000026           1        33        33 access
  0.00    0.000025           3         8           setresgid
  0.00    0.000016           8         2           readlink
  0.00    0.000011           1         8           rt_sigprocmask
  0.00    0.000011           4         3           setgroups
  0.00    0.000010           3         3           alarm
  0.00    0.000009           2         5           getuid
  0.00    0.000009           5         2           pipe2
  0.00    0.000009           1        11           prlimit64
  0.00    0.000008           1         6           umask
  0.00    0.000006           3         2           getresuid
  0.00    0.000006           3         2           getresgid
  0.00    0.000005           0        32           fadvise64
  0.00    0.000004           2         2         1 rt_sigreturn
  0.00    0.000004           2         2         1 shmctl
  0.00    0.000004           4         1           setuid
  0.00    0.000004           0        32           getpriority
  0.00    0.000003           0        21           getpid
  0.00    0.000003           2         2           uname
  0.00    0.000003           1         3           getcwd
  0.00    0.000003           3         1           setgid
  0.00    0.000003           0        16           setpriority
  0.00    0.000002           2         1           getpgrp
  0.00    0.000000           0        11           brk
  0.00    0.000000           0         1           shmget
  0.00    0.000000           0         1           shmat
  0.00    0.000000           0         1           dup
  0.00    0.000000           0         1           dup2
  0.00    0.000000           0         5           recvmsg
  0.00    0.000000           0         1           bind
  0.00    0.000000           0         1           getsockname
  0.00    0.000000           0         4         1 execve
  0.00    0.000000           0         2           sysinfo
  0.00    0.000000           0         2           getgid
  0.00    0.000000           0         4           geteuid
  0.00    0.000000           0         2           getegid
  0.00    0.000000           0         2           getppid
  0.00    0.000000           0        16           setsid
  0.00    0.000000           0         2           getgroups
  0.00    0.000000           0         1           getpgid
  0.00    0.000000           0         1           getsid
  0.00    0.000000           0         2         2 statfs
  0.00    0.000000           0         3           prctl
  0.00    0.000000           0         3           arch_prctl
  0.00    0.000000           0         1           sched_getaffinity
  0.00    0.000000           0         2           set_tid_address
------ ----------- ----------- --------- --------- ----------------
100.00    8.043736                380331     19020 total
