% time     seconds  usecs/call     calls    errors syscall
------ ----------- ----------- --------- --------- ----------------
 56.21    4.545256          16    277206           wait4
 23.55    1.904628         587      3243      1533 futex
 15.87    1.283033          22     57403           pwrite64
  2.41    0.194971          11     17337         5 nanosleep
  0.80    0.065075           4     17396     17337 stat
  0.35    0.028382       28382         1           shmdt
  0.32    0.025486           3      9741           clock_gettime
  0.16    0.013245          13       988        27 openat
  0.08    0.006163           7       858         1 read
  0.07    0.005821           4      1536         4 ioctl
  0.05    0.003683           4       983           close
  0.04    0.002879           3       927           fstat
  0.03    0.002301           5       460        16 lstat
  0.02    0.001518           8       199           write
  0.01    0.000915          70        13           madvise
  0.01    0.000789           4       195           getdents
  0.01    0.000610           6       108           munmap
  0.01    0.000474           2       192           mmap
  0.00    0.000204           2        89           mprotect
  0.00    0.000194          12        16        11 restart_syscall
  0.00    0.000153           5        31           clone
  0.00    0.000153          13        12           sched_setaffinity
  0.00    0.000082           2        37           lseek
  0.00    0.000058           1        62           rt_sigaction
  0.00    0.000050           4        12           gettid
  0.00    0.000045           1        32           set_robust_list
  0.00    0.000044           3        14           socket
  0.00    0.000043           1        32           getrusage
  0.00    0.000037           4        10           sendto
  0.00    0.000029           4         8         6 connect
  0.00    0.000029           3        10           recvfrom
  0.00    0.000027           1        33        33 access
  0.00    0.000024           1        17           fcntl
  0.00    0.000024           2        13           setresuid
  0.00    0.000022           3         7         1 poll
  0.00    0.000021           3         8           setresgid
  0.00    0.000019          10         2           readlink
  0.00    0.000013           1        11           brk
  0.00    0.000011          11         1           shmat
  0.00    0.000010           1        11           prlimit64
  0.00    0.000009           3         3           setgroups
  0.00    0.000008           2         4         1 execve
  0.00    0.000007           1         8           rt_sigprocmask
  0.00    0.000007           4         2         1 shmctl
  0.00    0.000007           4         2           sysinfo
  0.00    0.000007           1         5           getuid
  0.00    0.000006           3         2         1 rt_sigreturn
  0.00    0.000006           0        21           getpid
  0.00    0.000006           1         6           umask
  0.00    0.000005           2         3           alarm
  0.00    0.000005           2         3           getcwd
  0.00    0.000005           1         4           geteuid
  0.00    0.000005           3         2           pipe2
  0.00    0.000003           3         1           setuid
  0.00    0.000003           3         1           setgid
  0.00    0.000003           2         2           getegid
  0.00    0.000003           2         2           getppid
  0.00    0.000003           2         2           getresuid
  0.00    0.000003           2         2           getresgid
  0.00    0.000003           1         3           arch_prctl
  0.00    0.000002           1         2           uname
  0.00    0.000002           1         2           getgid
  0.00    0.000001           1         1           getpgrp
  0.00    0.000000           0         1           shmget
  0.00    0.000000           0         1           dup
  0.00    0.000000           0         1           dup2
  0.00    0.000000           0         5           recvmsg
  0.00    0.000000           0         1           bind
  0.00    0.000000           0         1           getsockname
  0.00    0.000000           0        16           setsid
  0.00    0.000000           0         2           getgroups
  0.00    0.000000           0         1           getpgid
  0.00    0.000000           0         1           getsid
  0.00    0.000000           0         2         2 statfs
  0.00    0.000000           0        32           getpriority
  0.00    0.000000           0        16           setpriority
  0.00    0.000000           0         3           prctl
  0.00    0.000000           0         1           sched_getaffinity
  0.00    0.000000           0         2           set_tid_address
  0.00    0.000000           0        32           fadvise64
------ ----------- ----------- --------- --------- ----------------
100.00    8.086630                389455     18979 total
