% time     seconds  usecs/call     calls    errors syscall
------ ----------- ----------- --------- --------- ----------------
 58.69   23.460043          84    278306           wait4
 35.91   14.353677           9   1641624           pwrite64
  4.63    1.852618         563      3291      1562 futex
  0.41    0.165109           9     17404         1 nanosleep
  0.15    0.060900           3     17463     17404 stat
  0.07    0.028096       28096         1           shmdt
  0.06    0.023187           2      9820           clock_gettime
  0.02    0.008589           9       988        27 openat
  0.01    0.005033           6       858         1 read
  0.01    0.004966           3      1565         4 ioctl
  0.01    0.003037           3       983           close
  0.01    0.002522           3       927           fstat
  0.00    0.001963           4       460        16 lstat
  0.00    0.001186           6       199           write
  0.00    0.000680           3       195           getdents
  0.00    0.000500          38        13           madvise
  0.00    0.000409           4       108           munmap
  0.00    0.000249           1       192           mmap
  0.00    0.000160          13        12           sched_setaffinity
  0.00    0.000112           4        31           clone
  0.00    0.000085           1        89           mprotect
  0.00    0.000083           3        32           set_robust_list
  0.00    0.000082           1        62           rt_sigaction
  0.00    0.000069           2        37           lseek
  0.00    0.000064           4        15        14 restart_syscall
  0.00    0.000059           6        10           sendto
  0.00    0.000055           2        32           getrusage
  0.00    0.000052           4        12           gettid
  0.00    0.000043           3        14           socket
  0.00    0.000034           5         7         1 poll
  0.00    0.000032           3        10           recvfrom
  0.00    0.000029           2        17           fcntl
  0.00    0.000022           3         8           setresgid
  0.00    0.000017           9         2           readlink
  0.00    0.000013           2         8         6 connect
  0.00    0.000011           1        13           setresuid
  0.00    0.000011           6         2           pipe2
  0.00    0.000010           1        11           brk
  0.00    0.000010           1         8           rt_sigprocmask
  0.00    0.000009           3         3           alarm
  0.00    0.000009           2         5           getuid
  0.00    0.000007           4         2         1 rt_sigreturn
  0.00    0.000007           2         3           getcwd
  0.00    0.000007           1         6           umask
  0.00    0.000006           2         4           geteuid
  0.00    0.000005           0        33        33 access
  0.00    0.000005           3         2           sysinfo
  0.00    0.000004           0        21           getpid
  0.00    0.000004           4         1           setgid
  0.00    0.000004           0        11           prlimit64
  0.00    0.000003           2         2         1 shmctl
  0.00    0.000003           2         2           getgid
  0.00    0.000003           3         1           setuid
  0.00    0.000003           2         2           getegid
  0.00    0.000003           2         2           getppid
  0.00    0.000003           1         3           setgroups
  0.00    0.000003           1         3           arch_prctl
  0.00    0.000002           2         1           getpgrp
  0.00    0.000000           0         1           shmget
  0.00    0.000000           0         1           shmat
  0.00    0.000000           0         1           dup
  0.00    0.000000           0         1           dup2
  0.00    0.000000           0         5           recvmsg
  0.00    0.000000           0         1           bind
  0.00    0.000000           0         1           getsockname
  0.00    0.000000           0         4         1 execve
  0.00    0.000000           0         2           uname
  0.00    0.000000           0        16           setsid
  0.00    0.000000           0         2           getgroups
  0.00    0.000000           0         2           getresuid
  0.00    0.000000           0         2           getresgid
  0.00    0.000000           0         1           getpgid
  0.00    0.000000           0         1           getsid
  0.00    0.000000           0         2         2 statfs
  0.00    0.000000           0        32           getpriority
  0.00    0.000000           0        16           setpriority
  0.00    0.000000           0         3           prctl
  0.00    0.000000           0         1           sched_getaffinity
  0.00    0.000000           0         2           set_tid_address
  0.00    0.000000           0        32           fadvise64
------ ----------- ----------- --------- --------- ----------------
100.00   39.973907               1975065     19074 total
