% time     seconds  usecs/call     calls    errors syscall
------ ----------- ----------- --------- --------- ----------------
 60.25   37.673288        2122     17750           wait4
 38.52   24.083589           7   3430681           pread64
  0.75    0.469775         211      2227      1087 futex
  0.27    0.166708           9     17758         1 nanosleep
  0.11    0.067997           4     17787     17758 stat
  0.04    0.023509           2      9712           clock_gettime
  0.04    0.022879       22879         1           shmdt
  0.01    0.007354           8       959        27 openat
  0.01    0.004703           6       844         1 read
  0.01    0.003319           3      1090         4 ioctl
  0.00    0.002460           3       954           close
  0.00    0.002165           2       927           fstat
  0.00    0.001054           5       197           write
  0.00    0.000245           2       162           mmap
  0.00    0.000233           3        78           munmap
  0.00    0.000233          19        12           sched_setaffinity
  0.00    0.000172           2        89           mprotect
  0.00    0.000071           4        16           clone
  0.00    0.000057           3        17           set_robust_list
  0.00    0.000052           4        12           gettid
  0.00    0.000033          33         1           restart_syscall
  0.00    0.000024           2        13           madvise
  0.00    0.000019           1        33        33 access
  0.00    0.000012           0       430         1 lstat
  0.00    0.000007           1        11           brk
  0.00    0.000007           4         2         1 shmctl
  0.00    0.000006           0        62           rt_sigaction
  0.00    0.000006           3         2           sysinfo
  0.00    0.000005           5         1           shmget
  0.00    0.000005           5         1           shmat
  0.00    0.000005           1         6           getpid
  0.00    0.000004           2         2           getrusage
  0.00    0.000004           4         1           sched_getaffinity
  0.00    0.000003           0        37           lseek
  0.00    0.000003           0         8           rt_sigprocmask
  0.00    0.000003           1         3           arch_prctl
  0.00    0.000003           0        11           prlimit64
  0.00    0.000002           1         2           set_tid_address
  0.00    0.000000           0         7         1 poll
  0.00    0.000000           0         2         1 rt_sigreturn
  0.00    0.000000           0         1           dup
  0.00    0.000000           0         1           dup2
  0.00    0.000000           0         3           alarm
  0.00    0.000000           0        14           socket
  0.00    0.000000           0         8         6 connect
  0.00    0.000000           0        10           sendto
  0.00    0.000000           0        10           recvfrom
  0.00    0.000000           0         5           recvmsg
  0.00    0.000000           0         1           bind
  0.00    0.000000           0         1           getsockname
  0.00    0.000000           0         4         1 execve
  0.00    0.000000           0         2           uname
  0.00    0.000000           0        17           fcntl
  0.00    0.000000           0       195           getdents
  0.00    0.000000           0         3           getcwd
  0.00    0.000000           0         2           readlink
  0.00    0.000000           0         6           umask
  0.00    0.000000           0         5           getuid
  0.00    0.000000           0         2           getgid
  0.00    0.000000           0         1           setuid
  0.00    0.000000           0         1           setgid
  0.00    0.000000           0         4           geteuid
  0.00    0.000000           0         2           getegid
  0.00    0.000000           0         2           getppid
  0.00    0.000000           0         1           getpgrp
  0.00    0.000000           0         1           setsid
  0.00    0.000000           0         2           getgroups
  0.00    0.000000           0         3           setgroups
  0.00    0.000000           0        13           setresuid
  0.00    0.000000           0         2           getresuid
  0.00    0.000000           0         8           setresgid
  0.00    0.000000           0         2           getresgid
  0.00    0.000000           0         1           getpgid
  0.00    0.000000           0         1           getsid
  0.00    0.000000           0         2         2 statfs
  0.00    0.000000           0         2           getpriority
  0.00    0.000000           0         1           setpriority
  0.00    0.000000           0         3           prctl
  0.00    0.000000           0         2           fadvise64
  0.00    0.000000           0         2           pipe2
------ ----------- ----------- --------- --------- ----------------
100.00   62.530014               3502254     18924 total
