% time     seconds  usecs/call     calls    errors syscall
------ ----------- ----------- --------- --------- ----------------
 52.27    1.654998          94     17608           wait4
 19.59    0.620159          21     29846           pread64
 16.56    0.524392         235      2235      1089 futex
  6.24    0.197493          11     17616           nanosleep
  2.63    0.083371           5     17645     17616 stat
  0.81    0.025502           3      9835           clock_gettime
  0.70    0.022082       22082         1           shmdt
  0.48    0.015243          16       959        27 openat
  0.18    0.005848           7       844         1 read
  0.15    0.004731           4      1093         4 ioctl
  0.10    0.003308           3       954           close
  0.08    0.002572           3       927           fstat
  0.07    0.002096           5       430         1 lstat
  0.04    0.001224           6       196           write
  0.02    0.000759           4       195           getdents
  0.02    0.000625          48        13           madvise
  0.01    0.000421           5        78           munmap
  0.01    0.000197           1       162           mmap
  0.01    0.000164          14        12           sched_setaffinity
  0.00    0.000115           7        16           clone
  0.00    0.000098           1        89           mprotect
  0.00    0.000075           1        62           rt_sigaction
  0.00    0.000069           2        37           lseek
  0.00    0.000062           4        17           set_robust_list
  0.00    0.000054           5        10           sendto
  0.00    0.000052           4        12           gettid
  0.00    0.000042           6         7         1 poll
  0.00    0.000038           4        10           recvfrom
  0.00    0.000036           3        14           socket
  0.00    0.000024           1        17           fcntl
  0.00    0.000017           9         2           readlink
  0.00    0.000015           2         8           rt_sigprocmask
  0.00    0.000010           0        33        33 access
  0.00    0.000010           1         8         6 connect
  0.00    0.000010           1        13           setresuid
  0.00    0.000010           5         2           pipe2
  0.00    0.000009           3         3           alarm
  0.00    0.000009           1         8           setresgid
  0.00    0.000008           2         5           getuid
  0.00    0.000007           1         6           umask
  0.00    0.000006           3         2           sysinfo
  0.00    0.000005           3         2           getrusage
  0.00    0.000004           0        11           brk
  0.00    0.000004           2         2         1 rt_sigreturn
  0.00    0.000004           2         2         1 shmctl
  0.00    0.000003           1         3           getcwd
  0.00    0.000003           3         1           setuid
  0.00    0.000003           3         1           getpgrp
  0.00    0.000003           1         3           setgroups
  0.00    0.000003           0        11           prlimit64
  0.00    0.000002           2         1           setgid
  0.00    0.000000           0         1           shmget
  0.00    0.000000           0         1           shmat
  0.00    0.000000           0         1           dup
  0.00    0.000000           0         1           dup2
  0.00    0.000000           0         6           getpid
  0.00    0.000000           0         5           recvmsg
  0.00    0.000000           0         1           bind
  0.00    0.000000           0         1           getsockname
  0.00    0.000000           0         4         1 execve
  0.00    0.000000           0         2           uname
  0.00    0.000000           0         2           getgid
  0.00    0.000000           0         4           geteuid
  0.00    0.000000           0         2           getegid
  0.00    0.000000           0         2           getppid
  0.00    0.000000           0         1           setsid
  0.00    0.000000           0         2           getgroups
  0.00    0.000000           0         2           getresuid
  0.00    0.000000           0         2           getresgid
  0.00    0.000000           0         1           getpgid
  0.00    0.000000           0         1           getsid
  0.00    0.000000           0         2         2 statfs
  0.00    0.000000           0         2           getpriority
  0.00    0.000000           0         1           setpriority
  0.00    0.000000           0         3           prctl
  0.00    0.000000           0         3           arch_prctl
  0.00    0.000000           0         1           sched_getaffinity
  0.00    0.000000           0         2           set_tid_address
  0.00    0.000000           0         2           fadvise64
------ ----------- ----------- --------- --------- ----------------
100.00    3.165995                101125     18783 total
