% time     seconds  usecs/call     calls    errors syscall
------ ----------- ----------- --------- --------- ----------------
 53.36    2.866769         162     17658           wait4
 29.95    1.608911          20     80027           pwrite64
  9.71    0.521539         235      2217      1080 futex
  3.87    0.208074          12     17666         1 nanosleep
  1.47    0.078825           4     17695     17666 stat
  0.45    0.024335           2     10375           clock_gettime
  0.41    0.022001       22001         1           shmdt
  0.32    0.017451          18       958        27 openat
  0.12    0.006702           8       843         1 read
  0.09    0.005015           5      1088         4 ioctl
  0.07    0.003598           4       953           close
  0.06    0.002965           3       927           fstat
  0.03    0.001733           4       430         1 lstat
  0.03    0.001434           7       197           write
  0.01    0.000647           3       195           getdents
  0.01    0.000619          48        13           madvise
  0.01    0.000452           6        78           munmap
  0.00    0.000227           1       162           mmap
  0.00    0.000137          11        12           sched_setaffinity
  0.00    0.000115           1        89           mprotect
  0.00    0.000088           2        37           lseek
  0.00    0.000088           6        16           clone
  0.00    0.000071           1        62           rt_sigaction
  0.00    0.000060           6        10           sendto
  0.00    0.000048          48         1           restart_syscall
  0.00    0.000041           3        14           socket
  0.00    0.000041           3        12           gettid
  0.00    0.000037           4        10           recvfrom
  0.00    0.000036           5         7         1 poll
  0.00    0.000034           2        17           set_robust_list
  0.00    0.000027           2        17           fcntl
  0.00    0.000017           9         2           readlink
  0.00    0.000016           0        33        33 access
  0.00    0.000012           2         8         6 connect
  0.00    0.000011           1         8           rt_sigprocmask
  0.00    0.000010           3         3           alarm
  0.00    0.000010           1        13           setresuid
  0.00    0.000010           1         8           setresgid
  0.00    0.000010           5         2           pipe2
  0.00    0.000008           2         5           getuid
  0.00    0.000007           1         6           umask
  0.00    0.000005           3         2           sysinfo
  0.00    0.000005           2         3           setgroups
  0.00    0.000004           2         2         1 shmctl
  0.00    0.000004           4         1           setuid
  0.00    0.000003           0        11           brk
  0.00    0.000003           2         2         1 rt_sigreturn
  0.00    0.000003           1         3           getcwd
  0.00    0.000003           3         1           setgid
  0.00    0.000003           3         1           getpgrp
  0.00    0.000003           0        11           prlimit64
  0.00    0.000002           0         6           getpid
  0.00    0.000000           0         1           shmget
  0.00    0.000000           0         1           shmat
  0.00    0.000000           0         1           dup
  0.00    0.000000           0         1           dup2
  0.00    0.000000           0         5           recvmsg
  0.00    0.000000           0         1           bind
  0.00    0.000000           0         1           getsockname
  0.00    0.000000           0         4         1 execve
  0.00    0.000000           0         2           uname
  0.00    0.000000           0         2           getrusage
  0.00    0.000000           0         2           getgid
  0.00    0.000000           0         4           geteuid
  0.00    0.000000           0         2           getegid
  0.00    0.000000           0         2           getppid
  0.00    0.000000           0         1           setsid
  0.00    0.000000           0         2           getgroups
  0.00    0.000000           0         2           getresuid
  0.00    0.000000           0         2           getresgid
  0.00    0.000000           0         1           getpgid
  0.00    0.000000           0         1           getsid
  0.00    0.000000           0         2         2 statfs
  0.00    0.000000           0         2           getpriority
  0.00    0.000000           0         1           setpriority
  0.00    0.000000           0         3           prctl
  0.00    0.000000           0         3           arch_prctl
  0.00    0.000000           0         1           sched_getaffinity
  0.00    0.000000           0         2           set_tid_address
  0.00    0.000000           0         2           fadvise64
------ ----------- ----------- --------- --------- ----------------
100.00    5.372269                151972     18825 total
