% time     seconds  usecs/call     calls    errors syscall
------ ----------- ----------- --------- --------- ----------------
 59.09   37.133277        2091     17760           wait4
 39.66   24.921562           8   3185916           pwrite64
  0.75    0.473545         213      2221      1082 futex
  0.27    0.167426           9     17768         1 nanosleep
  0.11    0.070716           4     17797     17768 stat
  0.04    0.022351       22351         1           shmdt
  0.03    0.020757           2      9546           clock_gettime
  0.02    0.009876          10       958        27 openat
  0.01    0.006080           7       843         1 read
  0.01    0.004116           4      1089         4 ioctl
  0.01    0.003798           4       953           close
  0.01    0.003249           4       927           fstat
  0.00    0.001844           4       430         1 lstat
  0.00    0.001232           6       197           write
  0.00    0.000896          69        13           madvise
  0.00    0.000675           3       195           getdents
  0.00    0.000532           7        78           munmap
  0.00    0.000460           3       162           mmap
  0.00    0.000312           4        89           mprotect
  0.00    0.000154          13        12           sched_setaffinity
  0.00    0.000130           2        62           rt_sigaction
  0.00    0.000112          11        10           sendto
  0.00    0.000095           3        37           lseek
  0.00    0.000090           6        16           clone
  0.00    0.000067           5        14           socket
  0.00    0.000055           2        33        33 access
  0.00    0.000049           4        12           gettid
  0.00    0.000047           3        17           set_robust_list
  0.00    0.000044           6         8         6 connect
  0.00    0.000035           2        17           fcntl
  0.00    0.000034           3        13           setresuid
  0.00    0.000030           3        10           recvfrom
  0.00    0.000027           4         7         1 poll
  0.00    0.000023           3         8           setresgid
  0.00    0.000021          21         1           restart_syscall
  0.00    0.000020           4         5           recvmsg
  0.00    0.000019           2        11           prlimit64
  0.00    0.000017           9         2           readlink
  0.00    0.000015           3         6           umask
  0.00    0.000014           7         2         2 statfs
  0.00    0.000012           2         8           rt_sigprocmask
  0.00    0.000012           2         5           getuid
  0.00    0.000009           3         3           setgroups
  0.00    0.000009           5         2           pipe2
  0.00    0.000008           1        11           brk
  0.00    0.000007           2         3           alarm
  0.00    0.000006           3         2           uname
  0.00    0.000006           2         4           geteuid
  0.00    0.000006           3         2           getgroups
  0.00    0.000006           3         2           getresuid
  0.00    0.000005           1         6           getpid
  0.00    0.000005           3         2           sysinfo
  0.00    0.000004           2         2         1 shmctl
  0.00    0.000004           4         1           bind
  0.00    0.000004           1         3           getcwd
  0.00    0.000004           2         2           getresgid
  0.00    0.000004           1         3           prctl
  0.00    0.000003           2         2         1 rt_sigreturn
  0.00    0.000003           3         1           getsockname
  0.00    0.000003           2         2           getrusage
  0.00    0.000003           2         2           getgid
  0.00    0.000003           3         1           setuid
  0.00    0.000003           3         1           setgid
  0.00    0.000003           2         2           getegid
  0.00    0.000003           2         2           getppid
  0.00    0.000003           1         3           arch_prctl
  0.00    0.000003           2         2           set_tid_address
  0.00    0.000002           2         1           getpgrp
  0.00    0.000002           2         1           getpgid
  0.00    0.000002           2         1           getsid
  0.00    0.000000           0         1           shmget
  0.00    0.000000           0         1           shmat
  0.00    0.000000           0         1           dup
  0.00    0.000000           0         1           dup2
  0.00    0.000000           0         4         1 execve
  0.00    0.000000           0         1           setsid
  0.00    0.000000           0         2           getpriority
  0.00    0.000000           0         1           setpriority
  0.00    0.000000           0         1           sched_getaffinity
  0.00    0.000000           0         2           fadvise64
------ ----------- ----------- --------- --------- ----------------
100.00   62.843949               3257343     18929 total
